Tweet_count,Username,Text,Created At,Retweets,Likes
65,sahelii🌷,Les fast-food qui font des frites maison nan merci pour tout https://t.co/GxLbO7MQDf,Sat Feb 22 18:40:15 +0000 2025,1,110
66,David,Merci @kfburger59 de réguler le marché des fast food,Sat Feb 22 15:05:31 +0000 2025,0,4
67,I 🇵🇸,@LYESseylll Mais bande d’enculés tout les jours vous sucez le fast food on a le droit de de poser le question,Sun Feb 16 07:48:49 +0000 2025,0,32
68,Frederic Filloux,"Une cuillerée à café de micro-plastiques présente dans des cerveaux humains, selon Nature. 
Cette décision est un bras d’honneur. Est-ce que les industriels de la fast-food vont suivre?",Wed Feb 12 08:02:22 +0000 2025,0,3
69,yasin 🇹🇷🇲🇱,le beauté privilège des fast food j’en parlerais dans ma conférence à chatelet https://t.co/sp7END6Jsx,Wed Feb 19 19:42:58 +0000 2025,1,30
70,𝑲𝒓𝒆𝒕𝒙𝒆𝒖 🇨🇻🇸🇳,"J’ai trouvé une dame qui vend du thieb à 900 près du taff demain je vais essayer ça, marre du fast food",Mon Feb 10 17:04:02 +0000 2025,0,4
71,DeidaArt,"@LaSueur_off Cédric Doumbia devrait se reconvertir en tant qu'influenceur fast food je pense, au moins il pourra être le visage français de la prévention des risques liés à l'obésité et la malbouffe",Fri Feb 14 16:43:24 +0000 2025,1,9
72,Augaroma,"Il pleut, tu t'ennuies ?🌧️

L'adresse : @ADNanime
Au menu : #bestiale d'@AnkamaAnim 

Une qualité digne des grands chefs, c'est un RÉGALE pour les yeux et les oreilles, on ne reste pas sur notre faim ! (Et ça pour moins cher qu'un menu fast-food😉)

Alors, bon visionnage !😘 https://t.co/kMgudmhBPx",Sat Feb 22 16:09:40 +0000 2025,3,33
73,𝓓𝓮𝓷𝔃 𝓛𝓸𝓿𝓮 🥀,"Les insultes, le sucre et les fast food 🥴 je dois y arriver 😣",Tue Feb 11 15:11:27 +0000 2025,1,3
74,Pascal B.,"@ErsiliaSoudais Venez comme vous êtes, LFI c’est le Fast food de la politique https://t.co/R20e8ww7IA",Sat Feb 22 12:52:33 +0000 2025,3,23
75,altf4,j’ai envie de frite molle d’un fast food avec de la sauce algérienne hmmmmm 😋,Wed Feb 19 11:56:10 +0000 2025,0,4
76,A.Charbonnier 🇪🇺,"L’argument perché du lavage des mains…
Je n’ai jamais vu les gens au fast food aller se laver les mains avant de manger. Et pourtant ils mangent avec les mains . 
Les gens sont souvent crades, avec ou sans fourchette #hygiene",Fri Feb 07 15:58:04 +0000 2025,0,2
77,Diogene Ethique,"@Matricule17Ter Si vous viviez à New York avec 100 000 € annuels vous vivriez à une heure de New York par le train, vous seriez locataire à vie dans un F1 miteux,  et vous mangeriez un hamburger frites coca dans un fast food pour 15 euros le midi. Bref votre situation serait bien pire qu'ici",Wed Feb 19 19:52:03 +0000 2025,0,17
78,L'inconnu,"Branlette + Gâteau + Ricatd + fast-food + boîte de nuit + emmerder les gens + sortir à poil + être à la rue + puer la clope + donner son avis sur Twitter 

= la recette du bonheur de la vie",Sun Feb 16 11:35:18 +0000 2025,0,8
79,Le Parisien | 95,"Le conducteur qui avait foncé sur des policiers, à Sannois, trahi… par un ticket de fast-food et condamné
➡️ https://t.co/9miZOldOa4 https://t.co/2hgOXkBV0N",Tue Feb 11 07:39:01 +0000 2025,0,0
80,kim,Subway c’est tellement le meilleur fast food limite mon préféré,Wed Feb 12 08:42:07 +0000 2025,0,4
81,sachin fast food,Nice dans p https://t.co/iSOJF4gpx3,Mon Feb 10 18:02:28 +0000 2025,0,1
82,Thierry B,"Vue l’Amérique de trompe 
Allez vous continuer d’aller 
Dans les fast-food 🤔",Sun Feb 23 07:16:25 +0000 2025,0,0
83,Anh Khoi Do,"Plus il y a des embouteillages, plus les automobilistes ont tendance à consommer de la fast food soit sur place dans les restaurants ou par l'entremise du service au volant. https://t.co/aKXNZ7BsQh https://t.co/k9cLwMUObD",Tue Feb 18 13:00:41 +0000 2025,0,1
84,Justine 🫧,Mais Sophie et Guillaume n'ont pas travaillé ensemble dans un fast-food ? #LMDLA,Sun Feb 09 19:48:40 +0000 2025,1,9
